time	V(output)
Step Information: Lval=60n Wval=10µ  (Step: 1/25)
9.553362307801763e-02	9.778651e-06
9.557204945289494e-02	1.886402e-02
9.564890220264953e-02	3.508359e-01
9.574655845264952e-02	1.381864e+00
9.574808433155578e-02	1.450650e+00
9.574846580128234e-02	1.485899e+00
9.574922874073546e-02	1.574464e+00
9.574941947559874e-02	1.604509e+00
9.574980094532530e-02	1.685905e+00
9.574992015461485e-02	1.725670e+00
9.574998273949187e-02	1.765021e+00
9.574999931703371e-02	1.792586e+00
9.574999999995054e-02	1.799946e+00
9.574999999999602e-02	2.361867e+00
9.575000000000738e-02	3.064391e+00
9.575000000001023e-02	3.204938e+00
9.575002895810003e-02	3.244396e+00
9.575011583202596e-02	3.288213e+00
9.575046332772968e-02	3.374110e+00
9.575092665533466e-02	3.443515e+00
9.575185331054462e-02	3.538316e+00
9.575370662096451e-02	3.665678e+00
9.575741324180430e-02	3.835575e+00
9.576482648348388e-02	4.055413e+00
9.577965296684303e-02	4.322886e+00
9.580930593356135e-02	4.663047e+00
9.581671917524093e-02	4.721437e+00
9.583154565860008e-02	4.798346e+00
9.586119862531840e-02	4.894462e+00
9.592050455875505e-02	4.975747e+00
9.600000000000000e-02	5.000000e+00
9.600794954412450e-02	5.000001e+00
9.605564680887148e-02	5.000000e+00
9.990234375000000e-02	5.000000e+00
9.999999999999999e-02	5.000000e+00
Step Information: Lval=90n Wval=6µ  (Step: 12/25)
